id;entity_name;entity;lsdb_id;relationship;vendor_ra_gstatus;explanation_of_estimate;rep_risk_concerns;relationship_description;i_1_na;i_2_na;i_3_na;i_4_na;i_5_na;i_6_na;i_7_na;i_8_na;i_9_na;i_10_na;i_11_na;i_12_na;indicator_discuss_1;indicator_discuss_2;indicator_discuss_3;indicator_discuss_4;indicator_discuss_5;indicator_discuss_6;indicator_discuss_7;indicator_discuss_8;indicator_discuss_9;indicator_discuss_10;indicator_discuss_11;indicator_discuss_12;decision;potential_mitigating_actions;comment_challenge;comment_validate;entity_info_rc;step_in_estimation_rc;impact_analysis_rc;indicator_analysis_rc;entity_below_b_sponsor;is_spe;none_of_the_above_a;entity_below_b_investor;equity_holdings_per_policy;debt_holdings_in_scope;none_of_the_above_b;tier_1_vendor;none_of_the_above_c;entity_type;entity_type_other;attachment;attachment_no_cid;attachment_comment;type_of_support_anticipated;instrument_of_trading_or_banking_book;reg_treatment;description;accounting_ifrs_treatment;accounting_ifrs_treatment_equity;accounting_ifrs_treatment_debt;total_asset_size;uncalled_commitment;current_aum;target_aum;step_in_risk_amount;contractual_exposure_in_million_usd;amconf_1;amconf_2;amconf_3;d_r_rdecision;optional_comment;optional_comment_ratios;rejection_rationale;due_date;case_type;case_name;end_time;case_due_date;first_lo_d_initiator;second_lo_d_assignee;ratio_assignee;drr_assignee;business_key;initiation_date;review_outcome;ubs_division;comment_reject;reject_or_escalate;attachment_escalation;attachment_escalation_no_cid;callback_id;callback_type;case_definition_id;name;parent_id;start_time;start_user_id;state;tenant_id
1;mobile Fish;Home Loan Account Table Computer;Trace;Savings Account alarm;Tasty Metal Bacon;red Chips Soap;Home Loan Account;web-readiness;Namibia;Steel zero administration;Multi-channelled Licensed;grey Cambridgeshire;Canyon HDD;Table Small Frozen Sausages Planner;envisioneer Music Public-key;infomediaries;Investment Account;Games Regional Digitized;copy convergence;Mayotte;Industrial;connect Markets Chief;capacitor archive;sky blue Tasty Plastic Pizza;compress South Georgia and the South Sandwich Islands;compelling mission-critical;bifurcated scalable;Small;deliverables reinvent 24 hour;overriding;monitor 1080p Checking Account;world-class Frozen IB;Highway Ergonomic;moratorium moratorium;New York tangible Mississippi;Frozen bus;hard drive Robust Networked;Poland;Small partnerships;Outdoors;Harbor Montana;Corporate Phased relationships;white Brand Money Market Account;Salad Web virtual;Refined Squares;maroon;EXE projection Fresh;support Gorgeous;withdrawal;copying;ability Hat Iraq;magenta Concrete;User-centric Gloves;Mauritania;facilitate Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;mission-critical;Berkshire Small Plastic Pants Investor;Canadian Dollar;Berkshire Designer;Credit Card Account;navigate;Re-contextualized;web-enabled invoice withdrawal;bypassing optical;installation;Argentine Peso;Kentucky Algerian Dinar Clothing;open-source turn-key;Sausages;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon;Macao Equatorial Guinea Vision-oriented;Agent;Human deposit;even-keeled Saint Helena Pound;2019-11-06;SCSI drive THX;Unbranded Cheese Dynamic;Alabama transform;invoice Home Gloves;Buckinghamshire Ports;Devolved driver Networked;Fish;payment calculating;local area network Benin;turn-key dedicated;Wisconsin;target Human withdrawal;dot-com payment Libyan Dinar;white sensor local;calculate;Chips;Villages uniform PCI;Automotive Tactics architectures;2019-11-06;Strategist SDD;functionalities;compressing
2;Bedfordshire;Maryland Configuration;Intranet Ergonomic Concrete Soap Zambian Kwacha;Concrete Bedfordshire;portal calculating Metal;real-time discrete redundant;Synergistic Personal Loan Account Sleek;Borders;olive Handcrafted Cotton Bacon Unbranded Fresh Pants;incubate;interfaces;Garden Dale Wallis and Futuna;generating;Computers Small Fresh Gloves back-end;interface;compress lavender Investment Account;backing up;Iran;Philippine Peso Metal;Strategist;card Licensed Cotton Ball;mindshare Gorgeous;Chips;navigating;Som Rustic Frozen Keyboard ROI;Benin;Tuna Response invoice;alarm Jamaica;system Gorgeous Rubber Pants;hack;leading-edge;Ergonomic Steel Gloves;Developer Shoes Music;Buckinghamshire Hollow Shoes;withdrawal Generic Frozen Tuna;Gorgeous Cotton Chair Personal Loan Account Borders;Norfolk Island Chilean Peso Unidades de fomento Checking Account;invoice Outdoors New York;multi-byte Jamaican Dollar North Carolina;Station;parsing Investment Account;Branding Dynamic black;yellow;Books Generic;robust withdrawal generate;Garden open-source hybrid;Solomon Islands Dollar;Personal Loan Account HTTP;schemas Specialist China;quantify multi-byte;interface Cotton Robust;user-centric Infrastructure;Managed Dobra application;Fantastic;Liechtenstein Buckinghamshire monetize;Direct;Small Frozen Salad bypassing;time-frame Quality;Borders Borders Practical;methodical;Pakistan;parse;neural Wooden Optimization;Tasty Rubber Car mindshare EXE;bandwidth Liaison;program Auto Loan Account Refined;infomediaries;Fantastic Fresh Salad;Steel Avon Visionary;exploit transition;User-centric Principal Pennsylvania;repurpose Sleek;mesh system Triple-buffered;Cotton;Advanced grow;Handmade Wooden Cheese Fresh;input Naira;2019-11-07;seize Glen Refined;Mandatory Assistant;Strategist;Incredible Fresh Car Tuvalu;Senior Optional Yemeni Rial;Central African Republic;magenta heuristic;Credit Card Account Maryland Legacy;Product;Brand Regional Court;B2B Mouse;Junctions one-to-one;analyzing holistic;Architect;Beauty dynamic schemas;Pound Sterling Keyboard;Licensed Usability models;Personal Loan Account markets;2019-11-06;EXE Rustic Steel Shirt drive;Ways Liaison engage;disintermediate Assistant generating
3;Practical Steel Shirt Plastic Movies;SMS;Zimbabwe parse Customer;input Accounts;enhance Multi-channelled purple;Response;white SMTP;Checking Account global Steel;Borders Springs connecting;SAS;Planner Refined;engage Granite Grocery;bluetooth payment digital;Rubber Industrial seamless;withdrawal Jamaica;International;Luxembourg Spurs;empower Home Loan Account SMS;back-end Via indexing;Business-focused Canyon Orchestrator;frictionless orchid;Future-proofed Awesome;Creek;Shirt Metal;Mouse Rupiah;Human Mission;Officer Savings Account Automated;Pants even-keeled Chair;Brazil;Island cyan;Granite open architecture;Ergonomic Soft Shoes;Bulgarian Lev Cambridgeshire;Regional;Home;primary quantify Chips;Guyana;Bedfordshire Auto Loan Account back-end;monitor Small Wooden Ball;feed;connecting generate Music;Inlet Hungary Configurable;interface;Toys;overriding;internet solution;Total;Investment Account Indian Rupee;withdrawal Club Nebraska;Nevada quantify architectures;empower;customized payment;Grass-roots Cambridgeshire;Personal Loan Account;Music;Pants;Avon;blue scalable Car;bypassing Sleek Steel Shirt Rand Namibia Dollar;Fresh incubate Agent;Jewelery Engineer Bedfordshire;Tanzanian Shilling Assurance Nebraska;Gardens synthesizing;silver;system;Buckinghamshire;Bouvet Island (Bouvetoya);Auto Loan Account asymmetric Montana;Applications;Montenegro;frictionless;Rubber Awesome Frozen Mouse;Trinidad and Tobago Dollar;Customer-focused;Shoes Rubber Mall;users scalable;transmitting parse infrastructures;2019-11-06;Representative mint green streamline;synthesize Arizona synthesizing;synthesizing;indigo Bacon Mouse;Programmable payment National;HDD;Tanzanian Shilling Lights;e-enable Plaza intranet;convergence Idaho customized;synthesize Bahrain;Pre-emptive Bouvet Island (Bouvetoya) experiences;Credit Card Account;Belize Dollar Bacon;Investment Account Rwanda Customer;Liaison copy program;hack Electronics Oklahoma;Cambridgeshire navigate Licensed;Fantastic indexing;2019-11-07;syndicate haptic;Bedfordshire;application driver
4;Credit Card Account Nevada;Persistent transparent Chips;front-end Intuitive vortals;Communications;Customer;Avon;Advanced bus;Security Virginia;solid state Clothing deposit;Maine Checking Account markets;Unbranded programming District;Concrete;Pizza yellow programming;FTP;Persistent Investment Account;Handmade Plastic Mouse neural;Money Market Account;synergize;JSON National;interactive capacitor;Idaho Grocery;Concrete Towels Avon;Automotive frame;Indiana deposit Electronics;Bedfordshire Strategist;Towels applications;Zimbabwe;Bedfordshire;application scale;indigo National;Expressway;Tools Street;Arkansas reciprocal;Mountain Malaysia supply-chains;Borders hack;Pants;Tasty navigate didactic;payment schemas Industrial;calculating;withdrawal Toys white;olive;Kids Incredible;Florida THX Idaho;Licensed Visionary pixel;neural Markets Branding;maroon;superstructure;Kids;microchip;Music Salad North Carolina;circuit Forward;frictionless solution-oriented;distributed Computers;Money Market Account users Guinea;SQL lavender;transmit Wooden COM;Agent Squares;supply-chains;Bedfordshire;Peru withdrawal Down-sized;invoice;Liaison Tonga;Lari;Sports Global Soft;Bedfordshire Awesome Cotton Tuna;calculating yellow;Wooden;Future;pixel Phased payment;Towels Internal;seize generate;Fantastic Wooden Chips microchip;Generic;Business-focused generate grid-enabled;International card;West Virginia Keys;Factors Soft;2019-11-07;4th generation;clear-thinking Auto Loan Account;indexing;Savings Account extensible connect;robust;interface Buckinghamshire;Investment Account Forge Licensed;auxiliary;Engineer Toys Fantastic;Licensed;Marketing mobile Cayman Islands Dollar;Computer Uzbekistan;input invoice calculate;Philippine Peso parsing Triple-buffered;deposit Rand Namibia Dollar;Branding;Handcrafted Rubber Sausages;Towels Mississippi Product;2019-11-07;Leone;azure;Administrator
5;online program Refined Granite Gloves;quantifying Baby;one-to-one Connecticut;Unbranded Tugrik;models streamline;projection Maldives;withdrawal alarm Timor-Leste;Personal Loan Account Inverse;Track;Books CSS Holy See (Vatican City State);Data Tasty Steel Pants Licensed Steel Shirt;Manor;Utah zero defect;bypass e-services;Russian Federation program;Practical;emulation SQL;Persevering Gorgeous Steel Salad Associate;Fantastic whiteboard;lavender;neural Cloned Massachusetts;SCSI Communications Underpass;Officer parse;Intuitive;quantifying Phased connecting;Automated;architect;lavender;copying primary invoice;EXE;Personal Loan Account Chile foreground;connect Zimbabwe Dollar;Forward;Pre-emptive Reduced;Kids Customer;Practical AI didactic;Tunnel;Configuration;Jewelery monitoring Infrastructure;Gorgeous ROI implement;Saint Helena Pound;Borders;Integration;Bond Markets Units European Composite Unit (EURCO);Facilitator;Cambridgeshire;Borders Internal;open-source Ouguiya;AGP circuit;optical deposit;Pizza Fish next-generation;UIC-Franc;Generic El Salvador Colon US Dollar purple;XSS RSS Outdoors;Music copying Reduced;Chair connecting synthesizing;Adaptive black;Money Market Account;New York Concrete expedite;Solomon Islands;Wooden radical Beauty;Facilitator 24/365;Sausages bypass;Directives Baht Tasty Plastic Keyboard;bypass hard drive Hollow;Checking Account;SCSI;Technician Architect calculate;Auto Loan Account;Movies Sports;target;compress UAE Dirham Dam;Wells;partnerships Terrace Hat;calculating conglomeration bypassing;Kroon deposit systemic;Liaison Grocery capacitor;2019-11-06;THX Coordinator;grid-enabled Specialist e-services;program override red;payment efficient RSS;Vietnam Mouse;SDD;Cheese Summit Saint Martin;Auto Loan Account;4th generation;Principal Savings Account online;Music Savings Account;Ethiopian Birr architectures;Networked;Handcrafted Rubber Gloves;South Carolina;website Curve;Circles;disintermediate Walks Credit Card Account;2019-11-07;El Salvador Colon US Dollar XSS;Lead sensor bypass;Configurable
6;Delaware Health Borders;Rupiah;back up Tactics;Borders;PCI;Sports;24/365;Frozen;magenta Turkish Lira;green Chicken Tasty;Metal Lead;Communications Generic Granite Gloves;Accountability Assurance Auto Loan Account;seamless indexing Handcrafted;Malta Auto Loan Account online;deposit Central African Republic;markets protocol Savings Account;Shoes HDD;utilisation;out-of-the-box Pizza;systems Sleek Wooden Towels Clothing;Fundamental Designer;Borders Intelligent whiteboard;Practical Steel Mouse;indexing;XSS;mindshare navigating Money Market Account;drive Analyst Awesome Fresh Hat;Michigan Clothing;Borders HDD;redundant withdrawal Planner;National;benchmark;invoice program;synthesize;Investor Tuna;redefine;Shirt SDD;communities Refined;Pike Borders;payment Rustic;envisioneer Coordinator;SMTP;matrices;Savings Account redefine Multi-channelled;Team-oriented;initiatives;Jordan;Uganda Shilling Cotton;Persevering Personal Loan Account;De-engineered strategic integrate;array payment;optical transmitter;Utah COM;Botswana;zero defect;Granite;Program;deposit;Estate;Incredible Sleek Arizona;Shirt Architect Developer;Automotive;invoice;Minnesota Open-architected Lebanon;Tugrik Wooden;Plastic;capacitor;feed;Officer;feed;communities;Officer Quality-focused invoice;Identity Lek Bedfordshire;transmitting COM;Music Data East Caribbean Dollar;Savings Account Branding navigating;2019-11-06;Colorado world-class;Orchestrator;utilisation;recontextualize USB primary;optimal Refined;unleash system engine;schemas Legacy SAS;metrics;embrace intranet deposit;migration;Investment Account Ohio;deliver Pine;Haiti;Advanced Awesome Rubber Mouse;payment connect Berkshire;XSS Suriname;Lead cross-platform;enable;2019-11-07;Illinois Kyrgyz Republic;unleash Slovenia;monitor Operations Sports
7;synergies;deposit Principal Profound;streamline azure Inlet;Rustic;Money Market Account Fiji;system engine haptic Moldova;Generic;interface zero administration networks;Christmas Island;Dong;haptic;card;multi-byte;Universal;supply-chains Licensed connecting;Sleek Rubber Computer Solutions;invoice Cambridgeshire;Secured olive;Shirt next-generation;Legacy efficient Exclusive;definition transmitter navigating;Trinidad and Tobago Dollar Licensed Savings Account;interfaces Mouse;bus;Field Bermuda Chair;deposit;sky blue deposit;benchmark;Sleek Wooden Chips bi-directional;Russian Ruble deploy;Roads feed;Director;bypassing;array Virginia;bypass;Generic;Savings Account monetize one-to-one;extensible Practical Granite Bacon;Turkish Lira;Profit-focused;system-worthy Credit Card Account;Denmark hub collaboration;Tasty Cotton Tuna efficient Producer;Hill Awesome Rubber Computer;Directives payment override;Indonesia;content;back up B2C invoice;Via enhance Cotton;Chair Producer Accounts;Switchable Kyat;Money Market Account;1080p;Rubber connecting back-end;Small Wooden Gloves Expanded viral;Incredible Integration;Bedfordshire navigating;Village;XML Sausages;Borders Planner navigating;Cambridgeshire;Granite quantifying;CFA Franc BEAC Syrian Arab Republic;back-end digital secured line;Graphic Interface;Keyboard;Future-proofed Metrics North Carolina;generating Granite FTP;Investment Account Rubber Legacy;Gloves Cambridgeshire revolutionize;withdrawal;Sleek Steel Hat;Versatile;San Marino;Cotton Money Market Account Optimization;solutions Refined deposit;Kids;2019-11-06;intuitive streamline;digital Ferry;Cambridgeshire;Generic Metal Gloves Administrator Devolved;Rustic;data-warehouse Intelligent Saudi Riyal;Home Loan Account;Manager open-source;orange Soap;Suriname models;optical;Ports pink;Iraq Buckinghamshire;interface;Supervisor Inverse Granite;Jewelery logistical;Belize Dollar sky blue Savings Account;Sports;2019-11-07;Officer primary;Sleek Cotton Computer intermediate withdrawal;compressing Rustic
8;Wooden FTP;alarm;cross-platform Investment Account;Key mobile Direct;Licensed withdrawal Quality;markets Extended programming;Triple-buffered;Stream withdrawal withdrawal;Points Polarised Senior;Cambridgeshire Computer;Analyst bandwidth Small Steel Computer;alarm Licensed Steel Computer Books;Buckinghamshire facilitate Green;holistic reboot invoice;e-business;Awesome invoice;Gorgeous Cotton Chair Ergonomic Cambridgeshire;regional compress Personal Loan Account;Djibouti Franc Music;Money Market Account;Generic Frozen Hat Camp Principal;back-end;Wall;Investment Account;Legacy Slovenia;deposit Steel;Unbranded Savings Account;seize;Japan maximize;Response;Research;tan TCP invoice;New Taiwan Dollar;SCSI;Universal Egypt invoice;Wall;input Rhode Island Tuna;Gloves;parse user-facing;Handmade Wooden Computer Metal;Licensed Manager Borders;copying;relationships quantify generate;array Delaware;Refined New York PNG;Keyboard Overpass;open-source;circuit Engineer Intelligent;SAS deposit;Saint Barthelemy;generating Savings Account Indian Rupee;haptic Macedonia;synthesizing;Sports back up ivory;navigate Croatian Kuna hack;implementation XML Liaison;deploy payment;SSL Savings Account reintermediate;Clothing Chair;Savings Account;Bacon evolve;Utah Mission;protocol Awesome;Oklahoma;Generic Granite Chicken Auto Loan Account;3rd generation copying;deposit Car;out-of-the-box mobile program;connecting Japan enable;policy;Cloned architect;Auto Loan Account;parse capacitor model;systems;Buckinghamshire Computer;methodologies calculating scale;Intranet mint green;2019-11-07;Director Chair;Toys generating neutral;Paradigm solid state;systematic;Synergized generate;turquoise redundant;Applications panel;Small circuit;District 1080p;bypass;Polarised;Cotton;Dynamic Ville Movies;Small Plastic Chair;content-based;Forward;Engineer;index Summit;2019-11-06;Rustic Granite Pizza;Ergonomic Rubber Salad;Plastic Gambia
9;navigate Unbranded;Shoes;Venezuela Rubber;Markets Refined Cotton Cheese modular;Cambridgeshire Engineer Metal;mint green Kentucky Groves;Communications Director Computer;Fish;ROI;quantifying;Macedonia Executive;AI;Bahrain wireless Mali;Intelligent Summit;initiatives Frozen;overriding Bermudian Dollar (customarily known as Bermuda Dollar);AI Ports;Finland Licensed Granite Computer cross-platform;Associate neural;pink Synergized;Gibraltar;input Andorra yellow;invoice Pizza Enterprise-wide;Park Producer quantify;Bahamas;Hollow;interactive target primary;withdrawal navigating;Licensed web services;mint green;Gorgeous impactful;Indiana withdrawal bluetooth;azure Global;Table Kwacha;Gloves Auto Loan Account customized;client-driven Analyst Rubber;Electronics;Legacy invoice;help-desk;Personal Loan Account Refined RAM;firewall toolset Administrator;Liaison Saint Helena Pound;challenge Agent;systems Keyboard Clothing;Sleek Clothing;Dynamic Fantastic matrix;cutting-edge;programming;Handmade copy;Turnpike quantifying Harbor;Networked transmitting;back-end Bike bandwidth;Ergonomic program platforms;out-of-the-box Extension calculate;e-commerce Louisiana;synthesizing Streets Engineer;Music feed;extranet;Movies Colombian Peso Unidad de Valor Real Pizza;Vision-oriented bypassing;Generic;Vatu Bedfordshire;sticky;Shoes;systems;Interactions SSL transmit;Handcrafted Fresh Ball invoice SMTP;Florida;deploy;Flats AI;Cotton web services;Sleek synergies Practical Soft Chair;Specialist Fresh card;Internal synthesize optical;Strategist;hard drive migration;Falkland Islands (Malvinas) invoice Courts;2019-11-07;Granite Ergonomic Concrete Bike Small Rubber Shoes;secured line;Incredible Focused;quantify Ergonomic Fresh Salad SCSI;matrices visionary Officer;Awesome Streamlined;4th generation interfaces zero tolerance;COM Norfolk Island Gorgeous Fresh Bike;Avon bandwidth;Lead Vatu;Refined Frozen Towels Beauty North Korean Won;support;Springs Rubber;Corporate initiatives;Web Pike;Pakistan Rupee Progressive Avon;Innovative;Cambridgeshire withdrawal Response;2019-11-07;parse Bedfordshire;optimize Future;vertical
10;Checking Account Corporate;holistic;Highway Manors Savings Account;Investment Account holistic;Montana;Sports Movies;backing up;Gorgeous web-enabled redundant;tan empower;Response;bypassing mobile;Granite visionary Borders;Health Seychelles Rupee Tasty Cotton Keyboard;clear-thinking disintermediate mindshare;JSON Swedish Krona;Credit Card Account;secured line;Usability calculating Sports;Movies port;Small Rubber Pizza Fiji Dollar Metal;online withdrawal;Rubber;Saint Kitts and Nevis Senior;Incredible out-of-the-box;bandwidth payment withdrawal;Home Loan Account Beauty deposit;Rubber Pizza Fish;Soft Global;connecting;Fresh Clothing relationships;Meadow;Maryland;Direct;Hawaii web-enabled transmitter;Refined Cotton Chicken navigating;Bulgarian Lev interactive;PNG;Flat cross-platform;Terrace Virginia index;success;Tools seamless;interface;Haiti Bedfordshire Table;Steel Legacy;Marketing value-added;withdrawal deposit;optimize redundant;artificial intelligence Uzbekistan Sum;Guinea overriding;Designer Course;Keyboard Analyst Ameliorated;Borders Liaison evolve;red;synergize Shirt Home;Granite Bedfordshire Fresh;Cotton Identity info-mediaries;e-markets Assistant Western Sahara;mission-critical;Shirt Tools Director;Wallis and Futuna Shoes Malawi;Cheese Streamlined;action-items secured line next generation;Car;cross-platform contextually-based;connecting Guadeloupe Towels;Frozen platforms;indexing maroon;Producer SQL Money Market Account;bluetooth Fall;enable Refined Granite Fish Tunisia;Frozen;Investor array;Track Rustic Soft Cheese;Steel wireless;Trail;Usability;Applications;2019-11-07;Sleek program Borders;target;Cook Islands;index maximize;Central front-end;SCSI Architect content;Auto Loan Account New Hampshire mobile;silver Ergonomic;Grocery invoice success;Incredible Fresh Ball;Beauty Orchestrator;Mobility;connect;Kwanza bus Tugrik;withdrawal;transparent cross-platform;program;Data Industrial;2019-11-06;Zimbabwe Dollar;Incredible Books Handmade Plastic Pizza;protocol Steel
